Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
428.21,29.67,28.6
428.24,31.25,29.1
428.33,27.66,23.0
428.41,30.68,34.3
428.31,31.03,30.3
428.32,32.1,35.3
428.29,34.59,35.3
428.48,31.91,14.0
428.66,30.61,39.2
428.33,36.05,42.9
428.13,36.47,42.2
428.22,32.06,27.4
428.56,27.41,5.2
428.88,10.45,11.2
428.85,29.79,30.2
428.86,31.21,33.7
428.87,33.77,26.2
428.89,24.6,36.4
428.73,36.88,32.2
428.64,34.94,42.1
428.51,33.54,42.5
428.32,24.03,30.1
428.14,20.68,20.3
428.27,34.31,27.9
428.33,47.68,47.7
428.53,48.67,43.3
428.55,38.69,41.9
428.33,49.49,50.9
428.45,49.64,46.4
428.56,34.66,35.0
428.48,27.98,28.3
428.44,19.21,19.6
428.45,8.75,5.2
428.46,25.67,28.9
428.43,26.82,29.7
428.4,26.55,23.7
428.43,24.67,24.3
428.43,32.61,35.5
428.26,28.57,37.2
428.32,30.11,17.9
428.58,34.95,28.1
428.71,33.64,32.6
428.64,37.34,44.2
428.44,39.06,43.7
428.33,38.91,41.8
428.38,36.01,31.0
428.53,32.0,31.3
428.24,33.09,45.3
428.13,37.83,38.5
428.13,35.67,31.3
428.23,36.65,36.3
428.27,36.47,35.0
428.4,37.3,29.1
428.49,21.86,21.2
428.55,36.62,35.9
428.59,36.49,31.5
428.73,35.94,31.3
428.72,27.42,31.0
428.68,23.19,25.3
428.52,18.18,29.7
428.27,14.36,11.9
428.24,25.06,31.1
428.36,21.33,17.7
428.42,34.47,25.5
428.63,35.04,34.3
428.54,27.11,35.4
428.33,32.7,33.4
428.29,16.73,16.4
428.34,32.53,32.5
428.49,36.64,28.4
428.6,36.88,38.0
428.56,40.21,42.7
428.31,36.21,50.2
427.95,37.72,44.8
428.15,40.86,21.6
428.47,30.02,29.7
428.44,14.23,17.8
428.28,3.74,6.6
428.22,1.49,4.0
428.11,0.0,4.0
428.0,0.4,4.0
427.88,0.39,4.0
427.69,14.54,17.3
427.78,20.68,17.1
427.94,21.9,15.6
428.09,19.62,14.6
428.22,22.89,18.2
428.42,6.15,4.0
428.32,0.41,4.0
428.18,9.11,13.8
428.16,20.65,17.8
428.29,33.31,33.7
428.19,29.14,34.5
428.19,35.28,31.7
428.27,36.04,34.6
428.35,8.66,4.0
428.28,14.49,11.6
428.22,17.82,28.2
428.2,33.58,33.2
428.25,34.09,34.1
428.25,35.68,35.3
428.12,36.43,37.9
428.29,17.84,10.0
428.33,25.44,21.5
428.38,24.33,27.9
428.25,16.69,21.0
428.25,11.42,11.8
428.15,8.34,14.4
428.02,5.08,4.0
428.06,5.08,4.0
427.97,9.1,14.2
427.93,17.73,11.6
428.13,18.79,15.2
428.22,19.42,20.5
428.1,23.38,31.2
428.1,32.74,29.6
428.23,9.02,4.0
428.02,19.67,29.9
428.09,37.18,29.8
428.33,36.14,25.0
428.61,36.92,30.8
428.73,36.95,34.1
428.74,24.86,32.0
428.46,21.51,26.5
428.44,35.11,34.4
428.47,37.43,36.4
428.52,37.41,35.6
428.51,36.46,39.0
428.45,39.16,40.2
428.46,36.0,36.7
428.58,38.35,28.7
428.73,37.32,35.2
428.8,39.04,36.9
428.77,37.67,40.9
428.74,37.53,39.0
428.65,36.97,39.5
428.58,40.55,42.7
428.63,10.99,5.3
428.56,0.05,4.0
428.32,18.96,29.0
428.27,26.16,26.5
428.18,25.01,30.8
428.07,27.36,28.4
428.19,31.8,24.3
428.43,10.82,4.0
428.21,15.16,28.1
428.18,33.71,30.8
428.33,42.79,32.0
428.8,48.9,36.7
428.73,30.68,36.4
428.55,18.59,34.4
428.1,9.14,19.3
427.82,15.37,16.3
427.91,20.28,22.1
427.89,30.2,29.9
428.01,37.11,33.2
428.08,36.22,34.7
428.12,38.05,37.0
428.16,38.79,37.4
428.13,38.95,36.4
428.25,38.16,37.5
428.29,39.09,37.3
428.15,34.15,40.3
428.14,43.46,40.2
428.29,38.66,35.1
428.2,39.65,42.5
428.29,45.99,42.0
428.19,42.54,47.6
428.05,42.04,44.6
428.38,66.06,42.7
428.41,31.72,51.1
428.1,43.94,47.5
428.02,30.72,27.9
428.22,37.4,37.8
428.21,36.92,36.9
428.14,37.59,40.1
427.97,40.03,44.5
428.05,37.76,30.0
428.3,41.09,37.9
428.3,12.91,15.4
428.08,13.91,16.8
427.96,9.13,17.4
427.77,14.75,16.0
427.72,10.5,15.3
427.6,17.48,15.4
427.83,10.32,4.0
428.04,10.6,4.0
427.89,10.88,23.2
427.66,12.64,17.8
427.48,20.84,24.0
427.52,33.56,28.0
427.68,30.71,28.0
427.76,30.41,28.0
427.8,14.37,19.8
427.47,9.69,17.7
427.35,17.25,17.0
427.37,16.78,13.7
427.34,17.36,21.5
427.23,9.24,13.7
427.15,6.38,7.2
427.06,1.22,4.0
426.95,3.54,5.1
427.03,8.61,4.0
427.2,9.34,6.0
427.16,4.89,7.7
427.19,12.41,9.9
427.29,12.63,12.1
427.34,7.33,4.0
427.28,5.5,10.8
427.21,6.22,4.0
427.27,6.71,5.9
427.27,5.7,7.4
427.22,9.7,12.5
427.17,4.98,4.7
427.12,2.61,4.0
427.14,6.22,4.0
427.2,9.59,9.6
427.19,7.8,8.4
427.18,9.74,9.7
427.17,8.47,9.0
427.16,5.11,4.0
427.15,2.06,4.0
427.05,1.5,4.0
426.95,2.19,4.0
426.9,1.45,4.0
426.78,1.71,4.0
426.73,3.24,4.0
426.59,6.68,10.5
426.57,3.49,4.0
426.52,5.53,4.0
426.72,10.37,4.0
426.89,7.56,4.0
427.13,13.44,4.0
427.47,18.16,12.5
427.54,9.3,10.5
427.6,11.82,4.0
427.75,19.04,21.2
427.83,20.3,14.9
427.88,14.79,16.0
427.87,22.06,20.9
428.03,31.97,22.3
428.28,17.56,10.7
428.47,19.59,20.0
428.24,11.29,22.4
428.02,12.05,13.5
427.98,7.73,9.0
427.81,10.04,14.9
427.9,20.54,18.7
427.96,17.16,12.9
427.98,4.26,7.9
427.8,14.95,20.1
427.73,14.88,16.4
427.69,13.65,11.5
427.72,4.15,5.1
427.66,2.03,4.4
427.64,7.71,4.7
427.92,12.13,4.0
428.05,6.87,4.0
428.01,7.39,11.2
427.96,4.56,5.2
427.94,4.26,5.2
